"","annotation.format","annotation.gi_num","annotation.source","annotation.hpv_type","annotation.name"
"1",>gi,     60966,lcl,HPV1REF.1, Human papillomavirus 1 (HPV1), complete genome
"2",>gi,   9626032,lcl,HPV2REF.1, Human papillomavirus 2 (HPV2), complete genome
"3",>gi,    397005,lcl,HPV3REF.1, Human papillomavirus 3 (HPV3), complete genome
"4",>gi,   9626597,lcl,HPV4REF.1, Human papillomavirus 4 (HPV4), complete genome
"5",>gi,    333071,lcl,HPV5REF.1, Human Papillomavirus 5 (HPV5), complete genome
"6",>gi,     60955,lcl,HPV6REF.1, Human papillomavirus 6 (HPV6), complete genome
"7",>gi,   9627389,lcl,HPV7REF.1, Human papillomavirus 7 (HPV7), complete genome
"8",>gi,    333074,lcl,HPV8REF.1, Human papillomavirus 8 (HPV8), complete genome
"9",>gi,   9627396,lcl,HPV9REF.1, Human papillomavirus 9 (HPV9), complete genome
"10",>gi,   9627257,lcl,HPV10REF.1, Human papillomavirus 10 (HPV10), complete genome
"11",>gi,    333026,lcl,HPV11REF.1, Human papillomavirus 11 (HPV11), complete genome
"12",>gi,    396910,lcl,HPV12REF.1, Human papillomavirus 12 (HPV12), complete genome
"13",>gi,     60295,lcl,HPV13REF.1, Human papillomavirus 13 (HPV13), complete genome
"14",>gi,    396918,lcl,HPV14REF.1, Human papillomavirus 14 (HPV14), complete genome
"15",>gi,    396924,lcl,HPV15REF.1, Human papillomavirus 15 (HPV15), complete genome
"16",>gi,    333031,lcl,HPV16REF.1, Human papillomavirus 16 (HPV16), complete genome
"17",>gi,    396932,lcl,HPV17REF.1, Human papillomavirus 17 (HPV17), complete genome
"18",>gi,     60975,lcl,HPV18REF.1, Human papillomavirus 18 (HPV18), complete genome
"19",>gi,    396940,lcl,HPV19REF.1, Human papillomavirus 19 (HPV19), complete genome
"20",>gi,   1020162,lcl,HPV20REF.1, Human papillomavirus 20 (HPV20), complete genome
"21",>gi,   1020170,lcl,HPV21REF.1, Human papillomavirus 21 (HPV21), complete genome
"22",>gi,   1020178,lcl,HPV22REF.1, Human papillomavirus 22 (HPV22), complete genome
"23",>gi,   1020186,lcl,HPV23REF.1, Human papillomavirus 23 (HPV23), complete genome
"24",>gi,   9628486,lcl,HPV24REF.1, Human papillomavirus 24 (HPV24), complete genome
"25",>gi,    396948,lcl,HPV25REF.1, Human papillomavirus 25 (HPV25), complete genome
"26",>gi,   9627305,lcl,HPV26REF.1, Human papillomavirus 26 (HPV26), complete genome
"27",>gi,    396964,lcl,HPV27REF.1, Human papillomavirus 27 (HPV27), complete genome
"28",>gi,   1020202,lcl,HPV28REF.1, Human papillomavirus 28 (HPV28), complete genome
"29",>gi,   1020210,lcl,HPV29REF.1, Human papillomavirus 29 (HPV29), complete genome
"30",>gi,    396973,lcl,HPV30REF.1, Human papillomavirus 30 (HPV30), complete genome
"31",>gi,    333048,lcl,HPV31REF.1, Human papillomavirus 31 (HPV31), complete genome
"32",>gi,   9627327,lcl,HPV32REF.1, Human papillomavirus 32 (HPV32), complete genome
"33",>gi,    333049,lcl,HPV33REF.1, Human papillomavirus 33 (HPV33), complete genome
"34",>gi,   9627334,lcl,HPV34REF.1, Human papillomavirus 34 (HPV34), complete genome
"35",>gi,    396997,lcl,HPV35REF.1, Human papillomavirus 35 (HPV35), complete genome
"36",>gi,   1020218,lcl,HPV36REF.1, Human papillomavirus 36 (HPV36), complete genome
"37",>gi,   1020226,lcl,HPV37REF.1, Human papillomavirus 37 (HPV37), complete genome
"38",>gi,   1020234,lcl,HPV38REF.1, Human papillomavirus 38 (HPV38), complete genome
"39",>gi,    333245,lcl,HPV39REF.1, Human papillomavirus 39 (HPV39), complete genome
"40",>gi,    397014,lcl,HPV40REF.1, Human papillomavirus 40 (HPV40), complete genome
"41",>gi,   9626041,lcl,HPV41REF.1, Human papillomavirus 41 (HPV41), complete genome
"42",>gi,    333211,lcl,HPV42REF.1, Human papillomavirus 42 (HPV42), complete genome
"43",>gi,  40804474,lcl,HPV43REF.1, Human papillomavirus 43 (HPV43), complete genome
"44",>gi,   1020242,lcl,HPV44REF.1, Human papillomavirus 44 (HPV44), complete genome
"45",>gi,    397022,lcl,HPV45REF.1, Human papillomavirus 45 (HPV45), complete genome
"46",>gi,    333062,lcl,HPV47REF.1, Human papillomavirus 47 (HPV47), complete genome
"47",>gi,   9628542,lcl,HPV48REF.1, Human papillomavirus 48 (HPV48), complete genome
"48",>gi,   9627363,lcl,HPV49REF.1, Human papillomavirus 49 (HPV49), complete genome
"49",>gi,   9628550,lcl,HPV50REF.1, Human papillomavirus 50 (HPV50), complete genome
"50",>gi,    333087,lcl,HPV51REF.1, Human papillomavirus 51 (HPV51), complete genome
"51",>gi,    397038,lcl,HPV52REF.1, Human papillomavirus 52 (HPV52), complete genome
"52",>gi,   9627377,lcl,HPV53REF.1, Human papillomavirus 53 (HPV53), complete genome
"53",>gi,   9628437,lcl,HPV54REF.1, Human papillomavirus 54 (HPV54), complete genome
"54",>gi,    397053,lcl,HPV56REF.1, Human papillomavirus 56 (HPV56), complete genome
"55",>gi,     60882,lcl,HPV57REF.1, Human papillomavirus 57 (HPV57), complete genome
"56",>gi,    222386,lcl,HPV58REF.1, Human papillomavirus 58 (HPV58), complete genome
"57",>gi,    557236,lcl,HPV59REF.1, Human papillomavirus 59 (HPV59), complete genome
"58",>gi,   9628566,lcl,HPV60REF.1, Human papillomavirus 60 (HPV60), complete genome
"59",>gi,   9628574,lcl,HPV61REF.1, Human papillomavirus 61 (HPV61), complete genome
"60",>gi,  39932599,lcl,HPV62REF.1, Human papillomavirus 62 (HPV62), complete genome
"61",>gi,   9626605,lcl,HPV63REF.1, Human papillomavirus 63 (HPV63), complete genome
"62",>gi,    312100,lcl,HPV65REF.1, Human papillomavirus 65 (HPV65), complete genome
"63",>gi,   1020290,lcl,HPV66REF.1, Human papillomavirus 66 (HPV66), complete genome
"64",>gi,   3228267,lcl,HPV67REF.1, Human papillomavirus 67 (HPV67), complete genome
"65",>gi,  71726685,lcl,HPV68REF.1, Human papillomavirus 68 (HPV68), complete genome
"66",>gi,   6970418,lcl,HPV69REF.1, Human papillomavirus 69 (HPV69), complete genome
"67",>gi,   1173493,lcl,HPV70REF.1, Human papillomavirus 70 (HPV70), complete genome
"68",>gi,  12084981,lcl,HPV71REF.1, Human papillomavirus 71 (HPV71), complete genome
"69",>gi,   1491683,lcl,HPV72REF.1, Human papillomavirus 72 (HPV72), complete genome
"70",>gi,   1491692,lcl,HPV73REF.1, Human papillomavirus 73 (HPV73), complete genome
"71",>gi,  27462483,lcl,HPV74REF.1, Human papillomavirus 74 (HPV74), complete genome
"72",>gi,   2911544,lcl,HPV75REF.1, Human papillomavirus 75 (HPV75), complete genome
"73",>gi,   2911551,lcl,HPV76REF.1, Human papillomavirus 76 (HPV76), complete genome
"74",>gi,   2911558,lcl,HPV77REF.1, Human papillomavirus 77 (HPV77), complete genome
"75",>gi, 444303709,lcl,HPV78REF.1, Human papillomavirus 78 (HPV78), complete genome
"76",>gi,   2911565,lcl,HPV80REF.1, Human papillomavirus 80 (HPV80), complete genome
"77",>gi,  40804509,lcl,HPV81REF.1, Human papillomavirus 81 (HPV81), complete genome
"78",>gi,   6970427,lcl,HPV82REF.1, Human papillomavirus 82 (HPV82), complete genome
"79",>gi,   5059324,lcl,HPV83REF.1, Human papillomavirus 83 (HPV83), complete genome
"80",>gi,  12958167,lcl,HPV84REF.1, Human papillomavirus 84 (HPV84), complete genome
"81",>gi,   4574720,lcl,HPV85REF.1, Human papillomavirus 85 (HPV85), complete genome
"82",>gi,  15741127,lcl,HPV86REF.1, Human papillomavirus 86 (HPV86), complete genome
"83",>gi,  14475578,lcl,HPV87REF.2, Human papillomavirus 87 (HPV87), complete genome
"84",>gi, 167600365,lcl,HPV88REF.1, Human papillomavirus 88 (HPV88), complete genome
"85",>gi,  22095322,lcl,HPV89REF.1, Human papillomavirus 89 (HPV89), complete genome
"86",>gi,  22138122,lcl,HPV90REF.1, Human papillomavirus 90 (HPV90), complete genome
"87",>gi,  22023568,lcl,HPV91REF.1, Human papillomavirus 91 (HPV91), complete genome
"88",>gi,  27531786,lcl,HPV92REF.1, Human papillomavirus 92 (HPV92), complete genome
"89",>gi,  37089393,lcl,HPV93REF.1, Human papillomavirus 93 (HPV93), complete genome
"90",>gi,  40804528,lcl,HPV94REF.1, Human papillomavirus 94 (HPV94), complete genome
"91",>gi,  40804520,lcl,HPV95REF.1, Human papillomavirus 95 (HPV95), complete genome
"92",>gi,  50253426,lcl,HPV96REF.2, Human papillomavirus 96 (HPV96), complete genome
"93",>gi,  71726694,lcl,HPV97REF.1, Human papillomavirus 97 (HPV97), complete genome
"94",>gi, 262118181,lcl,HPV98REF.2, Human papillomavirus 98 (HPV98), complete genome
"95",>gi, 238801701,lcl,HPV99REF.1, Human papillomavirus 99 (HPV99), complete genome
"96",>gi, 238801708,lcl,HPV100REF.1, Human papillomavirus 100 (HPV100), complete genome
"97",>gi, 109390389,lcl,HPV101REF.1, Human papillomavirus 101 (HPV101), complete genome
"98",>gi,  71726718,lcl,HPV102REF.1, Human papillomavirus 102 (HPV102), complete genome
"99",>gi, 109390382,lcl,HPV103REF.1, Human papillomavirus 103 (HPV103), complete genome
"100",>gi, 238801872,lcl,HPV104REF.1, Human papillomavirus 104 (HPV104), complete genome
"101",>gi, 238801716,lcl,HPV105REF.1, Human papillomavirus 105 (HPV105), complete genome
"102",>gi,  71726710,lcl,HPV106REF.1, Human papillomavirus 106 (HPV106), complete genome
"103",>gi, 126131393,lcl,HPV107REF.1, Human papillomavirus 107 (HPV107), complete genome
"104",>gi, 224983322,lcl,HPV108REF.1, Human Papillomavirus 108 (HPV108), complete genome
"105",>gi, 225927560,lcl,HPV109REF.1, Human papillomavirus 109 (HPV109), complete genome
"106",>gi, 186461194,lcl,HPV110REF.1, Human papillomavirus 110 (HPV110), complete genome
"107",>gi, 186461202,lcl,HPV111REF.1, Human papillomavirus 111 (HPV111), complete genome
"108",>gi, 225927568,lcl,HPV112REF.1, Human papillomavirus 112 (HPV112), complete genome
"109",>gi, 238801723,lcl,HPV113REF.1, Human papillomavirus 113 (HPV113), complete genome
"110",>gi, 294187589,lcl,HPV114REF.1, Human papillomavirus 114 (HPV114), complete genome
"111",>gi, 270358560,lcl,HPV115REF.1, Human papillomavirus 115 (HPV115), complete genome
"112",>gi, 254810663,lcl,HPV116REF.1, Human papillomavirus 116 (HPV116), complete genome
"113",>gi, 256807724,lcl,HPV117REF.1, Human papillomavirus 117 (HPV117), complete genome
"114",>gi, 256807731,lcl,HPV118REF.1, Human papillomavirus 118 (HPV118), complete genome
"115",>gi, 296495828,lcl,HPV119REF.1, Human papillomavirus 119 (HPV119), complete genome
"116",>gi, 296495836,lcl,HPV120REF.1, Human papillomavirus 120 (HPV120), complete genome
"117",>gi, 297342356,lcl,HPV121REF.1, Human papillomavirus 121 (HPV121), complete genome
"118",>gi, 296495852,lcl,HPV122REF.1, Human papillomavirus 122 (HPV122), complete genome
"119",>gi, 296495860,lcl,HPV123REF.1, Human papillomavirus 123 (HPV123), complete genome
"120",>gi, 296495868,lcl,HPV124REF.1, Human papillomavirus 124 (HPV124), complete genome
"121",>gi, 339639364,lcl,HPV125REF.2, Human papillomavirus 125 (HPV125), complete genome
"122",>gi, 358356460,lcl,HPV126REF.1, Human papillomavirus 126 (HPV126), complete genome
"123",>gi, 304522114,lcl,HPV127REF.1, Human papillomavirus 127 (HPV127), complete genome
"124",>gi, 319976684,lcl,HPV128REF.1, Human papillomavirus 128 (HPV128), complete genome
"125",>gi, 319976676,lcl,HPV129REF.1, Human papillomavirus 129 (HPV129), complete genome
"126",>gi, 312451789,lcl,HPV130REF.1, Human papillomavirus 130 (HPV130), complete genome
"127",>gi, 319976668,lcl,HPV131REF.1, Human papillomavirus 131 (HPV131), complete genome
"128",>gi, 319962668,lcl,HPV132REF.1, Human papillomavirus 132 (HPV132), complete genome
"129",>gi, 312451813,lcl,HPV133REF.1, Human papillomavirus 133 (HPV133), complete genome
"130",>gi, 319962660,lcl,HPV134REF.1, Human papillomavirus 134 (HPV134), complete genome
"131",>gi, 389656400,lcl,HPV135REF.1, Human papillomavirus 135 (HPV135), complete genome
"132",>gi, 389656408,lcl,HPV136REF.1, Human papillomavirus 136 (HPV136), complete genome
"133",>gi, 389656416,lcl,HPV137REF.1, Human papillomavirus 137 (HPV137), complete genome
"134",>gi, 343411537,lcl,HPV138REF.1, Human papillomavirus 138 (HPV138), complete genome
"135",>gi, 343411545,lcl,HPV139REF.1, Human papillomavirus 139 (HPV139), complete genome
"136",>gi, 389656424,lcl,HPV140REF.1, Human papillomavirus 140 (HPV140), complete genome
"137",>gi, 343411561,lcl,HPV141REF.1, Human papillomavirus 141 (HPV141), complete genome
"138",>gi, 343411569,lcl,HPV142REF.1, Human papillomavirus 142 (HPV142), complete genome
"139",>gi, 343411577,lcl,HPV143REF.1, Human papillomavirus 143 (HPV143), complete genome
"140",>gi, 389656432,lcl,HPV144REF.1, Human papillomavirus 144 (HPV144), complete genome
"141",>gi, 343411593,lcl,HPV145REF.1, Human papillomavirus 145 (HPV145), complete genome
"142",>gi, 343411601,lcl,HPV146REF.1, Human papillomavirus 146 (HPV146), complete genome
"143",>gi, 343411609,lcl,HPV147REF.1, Human papillomavirus 147 (HPV147), complete genome
"144",>gi, 317046144,lcl,HPV148REF.1, Human papillomavirus 148 (HPV148), complete genome
"145",>gi, 312451781,lcl,HPV149REF.1, Human papillomavirus 149 (HPV149), complete genome
"146",>gi, 290964853,lcl,HPV150REF.1, Human papillomavirus 150 (HPV150), complete genome
"147",>gi, 290964861,lcl,HPV151REF.1, Human papillomavirus 151 (HPV151), complete genome
"148",>gi, 327195187,lcl,HPV152REF.1, Human papillomavirus 152 (HPV152), complete genome
"149",>gi, 356483524,lcl,HPV153REF.1, Human papillomavirus 153 (HPV153), complete genome
"150",>gi, 512721866,lcl,HPV154REF.1, Human papillomavirus 154 (HPV154), complete genome
"151",>gi, 353441719,lcl,HPV155REF.1, Human papillomavirus 155 (HPV155), complete genome
"152",>gi, 410443770,lcl,HPV156REF.1, Human papillomavirus 156 (HPV156), complete genome
"153",>gi,1020934679,lcl,HPV157REF.1, Human Papillomavirus 157 (HPV157), complete genome
"154",>gi,1020934693,lcl,HPV158REF.1, Human Papillomavirus 158 (HPV158), complete genome
"155",>gi, 395627595,lcl,HPV159REF.1, Human papillomavirus 159 (HPV159), complete genome
"156",>gi, 457866359,lcl,HPV160REF.1, Human papillomavirus 160 (HPV160), complete genome
"157",>gi, 409183135,lcl,HPV161REF.1, Human papillomavirus 161 (HPV161), complete genome
"158",>gi, 409183128,lcl,HPV162REF.1, Human papillomavirus 162 (HPV162), complete genome
"159",>gi, 409183121,lcl,HPV163REF.1, Human papillomavirus 163 (HPV163), complete genome
"160",>gi, 409183113,lcl,HPV164REF.1, Human papillomavirus 164 (HPV164), complete genome
"161",>gi, 409183149,lcl,HPV165REF.1, Human Papillomavirus 165 (HPV165), complete genome
"162",>gi, 410118099,lcl,HPV166REF.1, Human papillomavirus 166 (HPV166), complete genome
"163",>gi, 559797726,lcl,HPV167REF.1, Human papillomavirus 167 (HPV167), complete genome
"164",>gi, 557825766,lcl,HPV168REF.1, Human papillomavirus 168 (HPV168), complete genome
"165",>gi, 409183105,lcl,HPV169REF.1, Human papillomavirus 169 (HPV169), complete genome
"166",>gi, 409183142,lcl,HPV170REF.1, Human papillomavirus 170 (HPV170), complete genome
"167",>gi, 564732516,lcl,HPV171REF.1, Human papillomavirus 171 (HPV171), complete genome
"168",>gi, 564732524,lcl,HPV172REF.1, Human papillomavirus 172 (HPV172), complete genome
"169",>gi, 564732532,lcl,HPV173REF.1, Human papillomavirus 173 (HPV173), complete genome
"170",>gi, 469662959,lcl,HPV174REF.1, Human papillomavirus 174 (HPV174), complete genome
"171",>gi, 443498370,lcl,HPV175REF.1, Human papillomavirus 175 (HPV175), complete genome
"172",>gi, 607064610,lcl,HPV178REF.1, Human Papillomavirus 178 (HPV178), complete genome
"173",>gi, 530787707,lcl,HPV179REF.1, Human papillomavirus type 179 (HPV179), complete genome
"174",>gi, 443498378,lcl,HPV180REF.1, Human papillomavirus 180 (HPV180), complete genome
"175",>gi, 551364092,lcl,HPV184REF.1, Human papillomavirus type 184 (HPV184), complete genome
"176",>gi, 677569933,lcl,HPV197REF.1, Human papillomavirus type 197 (HPV197), complete genome
"177",>gi, 674781099,lcl,HPV199REF.1, Human papillomavirus type 199 (HPV199), complete genome
"178",>gi, 870702416,lcl,HPV200REF.1, Human papillomavirus 200 (HPV200), complete genome
"179",>gi, 896684338,lcl,HPV201REF.1, Human papillomavirus 201 (HPV201), complete genome
"180",>gi, 870702434,lcl,HPV202REF.1, Human papillomavirus 202 (HPV202), complete genome
"181",>gi, 819925266,lcl,HPV204REF.1, Human papillomavirus 204 (HPV204), complete genome
"182",>gi,1020934686,lcl,HPV205REF.1, Human Papillomavirus 205 (HPV205), complete genome
